,postal_code,State,City,CountyName,2021
0,10025,NY,New York,New York County,1114145.0
1,60657,IL,Chicago,Cook County,508407.0
2,10023,NY,New York,New York County,1450186.0
3,77494,TX,Katy,Harris County,404243.0
4,60614,IL,Chicago,Cook County,648360.0
5,77449,TX,Katy,Harris County,230956.0
6,10002,NY,New York,New York County,877046.0
7,77084,TX,Houston,Harris County,227804.0
8,79936,TX,El Paso,El Paso County,163190.0
9,60640,IL,Chicago,Cook County,330466.0
10,11226,NY,New York,Kings County,816357.0
11,10467,NY,New York,Bronx County,437434.0
12,78660,TX,Pflugerville,Travis County,411590.0
13,94109,CA,San Francisco,San Francisco County,1174651.0
14,10016,NY,New York,New York County,994723.0
15,37013,TN,Nashville,Davidson County,295552.0
16,32162,FL,The Villages,Sumter County,315421.0
17,60647,IL,Chicago,Cook County,499578.0
18,11201,NY,New York,Kings County,1250570.0
19,11235,NY,New York,Kings County,629803.0
20,11375,NY,New York,Queens County,839621.0
21,90250,CA,Hawthorne,Los Angeles County,808172.0
22,78130,TX,New Braunfels,Comal County,298815.0
23,37211,TN,Nashville,Davidson County,340382.0
24,10029,NY,New York,New York County,703790.0
25,10009,NY,New York,New York County,989520.0
26,77573,TX,League City,Galveston County,328783.0
27,60618,IL,Chicago,Cook County,507845.0
28,77584,TX,Pearland,Brazoria County,316103.0
29,10011,NY,New York,New York County,1683857.0
30,20002,DC,Washington,District of Columbia,749929.0
31,10128,NY,New York,New York County,1176807.0
32,28269,NC,Charlotte,Mecklenburg County,297373.0
33,78613,TX,Cedar Park,Williamson County,497259.0
34,77433,TX,Cypress,Harris County,342905.0
35,78572,TX,Mission,Hidalgo County,145026.0
36,30349,GA,Riverdale,Clayton County,213773.0
37,79912,TX,El Paso,El Paso County,236690.0
38,75052,TX,Grand Prairie,Dallas County,280300.0
39,94565,CA,Pittsburg,Contra Costa County,713278.0
40,37042,TN,Clarksville,Montgomery County,209013.0
41,11206,NY,New York,Kings County,933833.0
42,73099,OK,Yukon,Canadian County,204866.0
43,90046,CA,Los Angeles,Los Angeles County,1622626.0
44,20009,DC,Washington,District of Columbia,629556.0
45,77429,TX,Cypress,Harris County,311871.0
46,78245,TX,San Antonio,Bexar County,236121.0
47,77479,TX,Sugar Land,Fort Bend County,438074.0
48,10462,NY,New York,Bronx County,193783.0
49,10456,NY,New York,Bronx County,405767.0
50,60613,IL,Chicago,Cook County,362220.0
51,30044,GA,Lawrenceville,Gwinnett County,284377.0
52,10019,NY,New York,New York County,1266716.0
53,63376,MO,Saint Peters,Saint Charles County,256056.0
54,10003,NY,New York,New York County,1404994.0
55,28277,NC,Charlotte,Mecklenburg County,442368.0
56,60625,IL,Chicago,Cook County,413890.0
57,30043,GA,Lawrenceville,Gwinnett County,330394.0
58,11230,NY,New York,Kings County,1028427.0
59,11212,NY,New York,Kings County,531279.0
60,77036,TX,Houston,Harris County,161061.0
61,10463,NY,New York,New York County,437546.0
62,60629,IL,Chicago,Cook County,237470.0
63,11209,NY,New York,Kings County,971437.0
64,30096,GA,Duluth,Gwinnett County,319766.0
