postal_code,Mexican,Chinese,Italian,Cafe,Fastfood,Mexican_stars,Chinese_stars,Italian_stars,Cafe_stars,Fastfood_stars,Mexican_review_count,Chinese_review_count,Italian__review_count,Cafe_review_count,Fastfood_review_count,Neighborhood Tiers
18054,1.0,1.0,1.0,2.0,1.0,4.5,3.5,3.5,4.5,5.0,13.0,25.0,7.0,14.0,9.0,Tier2
18073,1.0,3.0,1.0,3.0,3.0,2.0,3.3,3.5,3.3,2.7,17.0,74.0,5.0,150.0,109.0,Tier2
18074,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,71.0,16.0,0.0,Tier2
18076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,20.0,0.0,Tier3
18084,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,16.0,0.0,20.0,Tier3
18901,20.0,13.0,15.0,21.0,22.0,3.6,4.0,3.5,3.5,3.7,1375.0,906.0,1129.0,1891.0,1710.0,Tier2
18902,2.0,3.0,3.0,4.0,3.0,4.5,4.2,4.0,3.5,3.7,112.0,87.0,61.0,333.0,35.0,Tier1
18911,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,25.0,Tier2
18912,3.0,2.0,3.0,0.0,0.0,3.5,4.2,3.7,0.0,0.0,165.0,61.0,115.0,0.0,0.0,Tier1
18913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,72.0,0.0,Tier1
18914,3.0,9.0,4.0,5.0,5.0,4.0,3.3,3.9,3.7,3.5,236.0,487.0,350.0,287.0,192.0,Tier2
18915,1.0,3.0,2.0,3.0,0.0,4.5,3.3,2.8,3.3,0.0,44.0,248.0,105.0,353.0,0.0,Tier2
18917,1.0,2.0,3.0,2.0,1.0,4.0,3.2,3.5,3.8,4.0,60.0,41.0,54.0,28.0,96.0,Tier2
18925,0.0,1.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,Tier1
18927,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,Tier2
18928,1.0,0.0,0.0,1.0,1.0,4.5,0.0,0.0,4.5,3.0,57.0,0.0,0.0,61.0,7.0,Tier1
18929,1.0,2.0,7.0,2.0,0.0,4.5,4.2,3.4,4.0,0.0,56.0,84.0,330.0,93.0,0.0,Tier1
18932,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,107.0,Tier2
18936,1.0,1.0,6.0,3.0,2.0,4.0,3.5,3.6,2.7,3.8,35.0,270.0,287.0,121.0,119.0,Tier3
18938,14.0,6.0,12.0,13.0,9.0,3.5,3.2,3.9,4.0,3.4,1070.0,580.0,2701.0,1264.0,1428.0,Tier1
18940,15.0,13.0,13.0,17.0,8.0,3.8,3.8,3.6,3.8,3.0,1653.0,1304.0,1465.0,1215.0,325.0,Tier1
18944,6.0,5.0,5.0,5.0,8.0,4.0,3.5,3.6,3.6,3.7,261.0,105.0,280.0,122.0,368.0,Tier2
18946,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,315.0,Tier1
18947,2.0,1.0,1.0,2.0,6.0,3.2,3.5,4.0,3.8,3.5,22.0,21.0,51.0,122.0,289.0,Tier1
18949,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.5,3.0,4.0,0.0,0.0,99.0,29.0,181.0,Tier2
18951,8.0,4.0,6.0,3.0,3.0,3.8,4.1,4.0,4.5,3.7,245.0,362.0,181.0,54.0,72.0,Tier3
18954,4.0,4.0,6.0,4.0,6.0,3.4,3.6,3.4,4.0,3.9,175.0,111.0,164.0,363.0,548.0,Tier1
18960,3.0,3.0,3.0,2.0,3.0,3.5,3.7,4.0,3.8,3.8,85.0,116.0,76.0,127.0,171.0,Tier2
18962,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,Tier2
18964,5.0,5.0,8.0,6.0,6.0,3.6,3.4,3.3,3.8,3.7,161.0,106.0,523.0,113.0,455.0,Tier2
18966,11.0,9.0,8.0,11.0,10.0,3.5,3.8,4.1,3.3,3.7,1470.0,195.0,409.0,834.0,629.0,Tier2
18969,5.0,3.0,2.0,2.0,2.0,4.0,3.5,4.2,4.2,4.0,137.0,66.0,17.0,129.0,237.0,Tier2
18974,10.0,16.0,15.0,16.0,14.0,3.6,3.3,3.6,3.6,3.4,398.0,668.0,864.0,675.0,776.0,Tier2
18976,6.0,4.0,10.0,12.0,10.0,3.9,2.8,3.4,3.5,3.6,289.0,221.0,1038.0,962.0,598.0,Tier2
18977,0.0,2.0,1.0,1.0,1.0,0.0,3.8,4.0,4.0,4.5,0.0,157.0,144.0,49.0,5.0,Tier1
18979,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,Tier2
19001,7.0,12.0,2.0,7.0,8.0,3.4,3.3,4.0,3.5,3.8,664.0,556.0,219.0,485.0,311.0,Tier2
19002,16.0,10.0,16.0,8.0,9.0,3.7,4.0,3.8,3.5,3.7,1139.0,757.0,1366.0,360.0,1231.0,Tier1
19003,14.0,13.0,12.0,16.0,14.0,3.9,3.9,3.8,3.4,4.0,1485.0,890.0,995.0,1694.0,1276.0,Tier1
19004,9.0,4.0,6.0,6.0,8.0,3.4,3.1,3.4,3.5,3.6,692.0,102.0,701.0,469.0,710.0,Tier1
19006,5.0,8.0,6.0,7.0,7.0,4.0,3.5,3.3,3.6,3.9,522.0,905.0,339.0,290.0,357.0,Tier2
19007,9.0,7.0,8.0,6.0,6.0,3.8,3.6,3.3,3.3,3.5,659.0,421.0,486.0,77.0,186.0,Tier3
19008,7.0,8.0,7.0,7.0,6.0,3.6,3.5,3.2,3.3,3.3,582.0,415.0,331.0,316.0,383.0,Tier1
19009,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,Tier1
19010,11.0,10.0,12.0,9.0,11.0,3.8,3.6,3.5,3.8,3.7,626.0,687.0,1083.0,694.0,885.0,Tier1
19012,1.0,2.0,0.0,2.0,2.0,4.0,3.5,0.0,4.2,3.2,34.0,126.0,0.0,51.0,52.0,Tier3
19013,8.0,4.0,2.0,4.0,5.0,3.7,3.0,3.5,3.1,3.2,233.0,37.0,166.0,42.0,150.0,Tier3
19014,4.0,6.0,7.0,13.0,8.0,3.2,3.2,3.9,3.6,3.6,181.0,107.0,148.0,428.0,424.0,Tier2
19015,4.0,5.0,5.0,7.0,7.0,2.9,3.2,3.2,2.5,3.3,173.0,119.0,158.0,133.0,279.0,Tier3
19018,12.0,5.0,5.0,6.0,8.0,3.6,3.2,3.7,3.2,3.3,208.0,317.0,177.0,202.0,283.0,Tier3
19020,26.0,19.0,30.0,16.0,28.0,3.0,3.2,3.6,3.4,3.3,1760.0,1523.0,1398.0,846.0,1561.0,Tier3
19021,3.0,5.0,1.0,2.0,4.0,3.5,3.7,3.0,3.5,4.0,442.0,128.0,6.0,26.0,158.0,Tier3
19022,2.0,1.0,1.0,0.0,2.0,4.0,3.0,2.5,0.0,3.2,150.0,15.0,17.0,0.0,35.0,Tier3
19023,3.0,4.0,3.0,6.0,2.0,3.0,4.1,3.8,3.2,3.2,28.0,48.0,75.0,52.0,90.0,Tier3
19025,2.0,2.0,2.0,3.0,4.0,4.0,3.5,3.2,2.8,2.8,171.0,142.0,63.0,57.0,136.0,Tier1
19026,11.0,13.0,11.0,4.0,10.0,3.7,4.0,3.1,3.6,3.7,535.0,486.0,585.0,109.0,842.0,Tier3
19027,5.0,11.0,2.0,8.0,5.0,4.0,3.6,4.8,3.9,3.5,287.0,915.0,91.0,483.0,378.0,Tier2
19029,3.0,2.0,4.0,4.0,3.0,3.8,4.2,3.6,4.1,3.5,219.0,211.0,313.0,156.0,197.0,Tier3
19030,6.0,4.0,7.0,4.0,9.0,3.9,3.2,3.3,3.4,3.2,604.0,141.0,448.0,196.0,321.0,Tier3
19031,3.0,2.0,3.0,2.0,4.0,3.2,3.2,3.5,3.8,3.5,145.0,459.0,159.0,134.0,181.0,Tier2
19032,2.0,0.0,2.0,3.0,7.0,3.0,0.0,4.2,3.7,3.9,22.0,0.0,44.0,164.0,548.0,Tier3
19033,7.0,6.0,8.0,10.0,1.0,3.9,3.8,3.6,3.6,3.5,265.0,612.0,511.0,360.0,33.0,Tier2
19034,5.0,0.0,1.0,3.0,1.0,3.7,0.0,3.5,3.5,3.5,650.0,0.0,32.0,481.0,19.0,Tier1
19035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,35.0,Tier1
