,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,neighborhood
0,edLi09LmjWXgL1NOCJ4qjA,bungalow-bar-rockaway-beach,Bungalow Bar,https://s3-media4.fl.yelpcdn.com/bphoto/toGUJbus_gtZTtxkvERO9Q/o.jpg,False,https://www.yelp.com/biz/bungalow-bar-rockaway-beach?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,567,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.5890639, 'longitude': -73.817172}","['pickup', 'delivery']",$$,"{'address1': '377 Beach 92nd St', 'address2': '', 'address3': '', 'city': 'Rockaway Beach', 'zip_code': '11693', 'country': 'US', 'state': 'NY', 'display_address': ['377 Beach 92nd St', 'Rockaway Beach, NY 11693']}",+17189452100,(718) 945-2100,9552.425836351655,Queens County
1,_8PAd4Fz0euOMPAtPSWwGQ,hook-and-reel-cajun-seafood-and-bar-howard-beach,Hook & Reel Cajun Seafood & Bar,https://s3-media4.fl.yelpcdn.com/bphoto/_pHBVADz9UVUC42aYM2a_g/o.jpg,False,https://www.yelp.com/biz/hook-and-reel-cajun-seafood-and-bar-howard-beach?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,5,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 40.671673333320186, 'longitude': -73.85709599976735}","['delivery', 'pickup']",,"{'address1': '133-40 79th St', 'address2': None, 'address3': None, 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['133-40 79th St', 'Howard Beach, NY 11414']}",+17186736207,(718) 673-6207,2114.6525000395504,Queens County
2,uQ0kF3fiJFDm0oDVRaMBkw,carla-long-island-city,Carla,https://s3-media4.fl.yelpcdn.com/bphoto/BoE34winfFNgMlZ5Hnhdng/o.jpg,False,https://www.yelp.com/biz/carla-long-island-city?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,70,"[{'alias': 'salad', 'title': 'Salad'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 40.75351, 'longitude': -73.93764}",['delivery'],$$,"{'address1': '25-03 40th Avenue', 'address2': '', 'address3': None, 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['25-03 40th Avenue', 'Long Island City, NY 11101']}",+19292046264,(929) 204-6264,12517.520650495979,Queens County
3,cegA4jf16vEt7NCQ7cpu2w,kind-fresh-meadows,Kin'd,https://s3-media2.fl.yelpcdn.com/bphoto/75GptlVgTc9HqZoyHdu8NQ/o.jpg,False,https://www.yelp.com/biz/kind-fresh-meadows?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,934,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.73031, 'longitude': -73.77814}","['delivery', 'pickup']",$$,"{'address1': '192-03 Union Tpke', 'address2': '', 'address3': None, 'city': 'Fresh Meadows', 'zip_code': '11366', 'country': 'US', 'state': 'NY', 'display_address': ['192-03 Union Tpke', 'Fresh Meadows, NY 11366']}",+17184680888,(718) 468-0888,7704.802811845204,Queens County
4,MNNpsRXe7Wt5m3Jla9Wk0w,the-alcove-sunnyside,The Alcove,https://s3-media2.fl.yelpcdn.com/bphoto/peNqHPI1kUUKbvTse-xIxQ/o.jpg,False,https://www.yelp.com/biz/the-alcove-sunnyside?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,982,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",5.0,"{'latitude': 40.7459065, 'longitude': -73.915103}","['pickup', 'delivery']",$$,"{'address1': '41-11 49th St', 'address2': '', 'address3': '', 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['41-11 49th St', 'Sunnyside, NY 11104']}",+13478134159,(347) 813-4159,10598.861907550998,Queens County
5,L1gs262Sz476G9tOzuoJxg,vetro-restaurant-and-lounge-howard-beach-2,Vetro Restaurant & Lounge,https://s3-media3.fl.yelpcdn.com/bphoto/7Su3ScvjAQfffMi-7GGz8Q/o.jpg,False,https://www.yelp.com/biz/vetro-restaurant-and-lounge-howard-beach-2?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,344,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.5,"{'latitude': 40.6493567692935, 'longitude': -73.837154}","['pickup', 'delivery']",$$$,"{'address1': '164-49 Crossbay Blvd', 'address2': None, 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['164-49 Crossbay Blvd', 'Howard Beach, NY 11414']}",+17188438387,(718) 843-8387,2793.964382510068,Queens County
6,Ww5Yv7RuC-CXnC0GQDlpqw,sugar-factory-queens-jamaica,Sugar Factory - Queens,https://s3-media2.fl.yelpcdn.com/bphoto/B2dwUhY1lVWKyIb-1mFXpw/o.jpg,False,https://www.yelp.com/biz/sugar-factory-queens-jamaica?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,66,"[{'alias': 'newamerican', 'title': 'American (New)'}]",3.0,"{'latitude': 40.67339076219333, 'longitude': -73.83442386646217}",[],,"{'address1': '110-00 Rockaway Blvd', 'address2': None, 'address3': '', 'city': 'Jamaica', 'zip_code': '11420', 'country': 'US', 'state': 'NY', 'display_address': ['110-00 Rockaway Blvd', 'Jamaica, NY 11420']}",+13322395498,(332) 239-5498,204.90722400636784,Queens County
7,7_t9wAHVmPIBgchCDSuAVg,pico-rockaway,Pico,https://s3-media2.fl.yelpcdn.com/bphoto/ISqgSoJJpmYQ-KjO914Ypg/o.jpg,False,https://www.yelp.com/biz/pico-rockaway?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,362,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 40.57829, 'longitude': -73.849648}","['pickup', 'delivery']",$$,"{'address1': '419 Beach 129th St', 'address2': None, 'address3': '', 'city': 'Rockaway', 'zip_code': '11694', 'country': 'US', 'state': 'NY', 'display_address': ['419 Beach 129th St', 'Rockaway, NY 11694']}",+17189453474,(718) 945-3474,10766.017879787758,Queens County
8,p4TYRKQ82N5Ntb6RPdLPMg,brunos-ristorante-howard-beach,Bruno's Ristorante,https://s3-media3.fl.yelpcdn.com/bphoto/6y9yjb8Njw3HeMcYBESFRg/o.jpg,False,https://www.yelp.com/biz/brunos-ristorante-howard-beach?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,259,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"{'latitude': 40.66006127265407, 'longitude': -73.84037893911108}",['delivery'],$$,"{'address1': '158-22A Crossbay Blvd', 'address2': '', 'address3': '', 'city': 'Howard Beach', 'zip_code': '11414', 'country': 'US', 'state': 'NY', 'display_address': ['158-22A Crossbay Blvd', 'Howard Beach, NY 11414']}",+17183227866,(718) 322-7866,1715.9354527931432,Queens County
9,7nuI4icg8t2NOgXJWyTWcQ,kandela-nyc-jamaica-2,Kandela NYC,https://s3-media1.fl.yelpcdn.com/bphoto/HT1TlqgJGcMkBQg1oxmfbg/o.jpg,False,https://www.yelp.com/biz/kandela-nyc-jamaica-2?adjust_creative=UAiRW2alNdPn0MB0SXZMcQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=UAiRW2alNdPn0MB0SXZMcQ,224,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.6699548505369, 'longitude': -73.8424612544036}","['pickup', 'delivery']",$$,"{'address1': '150-03 Cross Bay Blvd', 'address2': None, 'address3': '', 'city': 'Jamaica', 'zip_code': '11417', 'country': 'US', 'state': 'NY', 'display_address': ['150-03 Cross Bay Blvd', 'Jamaica, NY 11417']}",+17186590262,(718) 659-0262,955.6933047327664,Queens County
