business_id,city,state,postal_code,stars,review_count,diversity
mpf3x-BjTdTEA3yCZrAYPw,Affton,MO,63123,3.0,15,3
MTSW4McQd7CbVtyjqoe9mw,Philadelphia,PA,19107,4.0,80,1
CF33F8-E6oudUQ46HnavjQ,Ashland City,TN,37015,2.0,6,1
bBDDEgkFA1Otx9Lfe7BZUQ,Nashville,TN,37207,1.5,10,1
eEOYSgkmpB90uNA7lDOMRA,Tampa Bay,FL,33602,4.0,10,3
il_Ro8jwPlHresjw9EGmBg,Indianapolis,IN,46227,2.5,28,5
MUTTqe8uqyMdBl186RmNeA,Philadelphia,PA,19106,4.0,245,4
ROeacJQwBeh05Rqg7F6TCg,Philadelphia,PA,19147,4.5,205,5
kfNv-JZpuN6TVNSO6hHdkw,Indianapolis,IN,46250,4.0,20,1
9OG5YkX1g2GReZM0AskizA,Reno,NV,89502,2.5,339,1
sqSqqLy0sN8n2IZrAbzidQ,White House,TN,37188,3.5,8,2
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore,PA,19003,3.5,109,2
aPNXGTDkf-4bjhyMBQxqpQ,Philadelphia,PA,19123,3.5,65,5
ljxNT9p0y7YMPx0fcNBGig,Alton,IL,62002,3.0,94,2
ABxoFuzZy5mqQ8C5FJJajQ,Bala Cynwyd,PA,19004,5.0,12,5
seKihQKpGGnCeLuELRQPSQ,Indianapolis,IN,46250,3.5,257,2
8rb-3VYXE37IZix4yOdskw,Williamstown,NJ,8094,2.5,29,1
aCDY7vXYMs54EbYuQScsnQ,Glenolden,PA,19036,4.5,25,1
pJfh3Ct8iL58NZa8ta-a5w,Wesley Chapel,FL,33544,4.5,95,2
ppFCk9aQkM338Rgwpl2F5A,Philadelphia,PA,19104,3.0,56,1
IDtLPgUrqorrpqSLdfMhZQ,Santa Barbara,CA,93101,4.0,389,5
YNjyv0gfOr2g8lbmUpTnKg,New Orleans,LA,70112,4.5,350,2
LhpPSrulqVeTyJeK2xydvQ,Camden,NJ,8102,4.5,6,2
oaboaRBUgGjbo2kfUIKDLQ,Nashville,TN,37201,4.5,593,1
RK6-cJ9hj53RzOlCBmpT-g,Tampa,FL,33611,5.0,5,3
knQ4vIgx-r85kjlWVVjcpQ,Reno,NV,89502,4.5,5,3
EuRGgOwJ0g1vTj2R04j37Q,Fairview Heights,IL,62208,2.5,14,3
TLZ3-eDPLhUzfsWO4ad6Ug,New Orleans,LA,70112,4.0,382,2
Dy91wdWkwtI_qgjAIZ0Niw,Wilmington,DE,19808,4.0,23,3
vje0KIiE7vtpx7JzmBx5LQ,Treasure Island,FL,33706,4.0,129,1
VrGxoSNZfSiT-G4OqRRGIw,Saint Louis,MO,63122,4.0,73,2
VZzivJEbmHItOxNXJB3SpA,Brentwood,TN,37027,2.5,14,4
anLQj9AM8vjbcLSIE0iUgg,Tucson,AZ,85741,4.0,22,1
Cdytv_YhJO0W0Ab8t2xLtg,Woodbury,NJ,8096,3.5,29,1
3BJxm-HnvzdwD1zjmSbmyQ,Philadelphia,PA,19130,3.0,137,4
9C2rpb56aQvW0ViZHK9sPw,Tucson,AZ,85711,3.5,56,1
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara,CA,93101,4.0,2404,4
aNtKyc2rr-uK5cqzY9TVQQ,Largo,FL,33771,3.0,19,4
X_E7U2lVNEwbH_gpOBmAHQ,Nashville,TN,37201,4.0,182,1
G4lRmwDHdvhZAhmtlsYYBw,Nashville,TN,37204,1.5,37,3
BxhkoR6cscJwwex8gx31OA,Madison,TN,37115,3.5,40,1
Ms5xG8i4p80KSMcF3tt4ug,Ewing,NJ,8628,4.0,52,2
