,postal_code,State,City,CountyName,2021
0,10025,NY,New York,New York County,1114145
1,60657,IL,Chicago,Cook County,508407
2,10023,NY,New York,New York County,1450186
3,77494,TX,Katy,Harris County,404243
4,60614,IL,Chicago,Cook County,648360
5,77449,TX,Katy,Harris County,230956
6,10002,NY,New York,New York County,877046
7,77084,TX,Houston,Harris County,227804
8,79936,TX,El Paso,El Paso County,163190
9,60640,IL,Chicago,Cook County,330466
10,11226,NY,New York,Kings County,816357
11,10467,NY,New York,Bronx County,437434
12,78660,TX,Pflugerville,Travis County,411590
13,94109,CA,San Francisco,San Francisco County,1174651
14,10016,NY,New York,New York County,994723
15,37013,TN,Nashville,Davidson County,295552
16,32162,FL,The Villages,Sumter County,315421
17,60647,IL,Chicago,Cook County,499578
18,11201,NY,New York,Kings County,1250570
19,11235,NY,New York,Kings County,629803
20,11375,NY,New York,Queens County,839621
21,90250,CA,Hawthorne,Los Angeles County,808172
22,78130,TX,New Braunfels,Comal County,298815
23,37211,TN,Nashville,Davidson County,340382
24,10029,NY,New York,New York County,703790
25,10009,NY,New York,New York County,989520
26,77573,TX,League City,Galveston County,328783
27,60618,IL,Chicago,Cook County,507845
28,77584,TX,Pearland,Brazoria County,316103
29,10011,NY,New York,New York County,1683857
30,20002,DC,Washington,District of Columbia,749929
31,10128,NY,New York,New York County,1176807
32,28269,NC,Charlotte,Mecklenburg County,297373
33,78613,TX,Cedar Park,Williamson County,497259
34,77433,TX,Cypress,Harris County,342905
35,78572,TX,Mission,Hidalgo County,145026
36,30349,GA,Riverdale,Clayton County,213773
37,79912,TX,El Paso,El Paso County,236690
38,75052,TX,Grand Prairie,Dallas County,280300
39,94565,CA,Pittsburg,Contra Costa County,713278
40,37042,TN,Clarksville,Montgomery County,209013
41,11206,NY,New York,Kings County,933833
42,73099,OK,Yukon,Canadian County,204866
43,90046,CA,Los Angeles,Los Angeles County,1622626
44,20009,DC,Washington,District of Columbia,629556
45,77429,TX,Cypress,Harris County,311871
46,78245,TX,San Antonio,Bexar County,236121
47,77479,TX,Sugar Land,Fort Bend County,438074
48,10462,NY,New York,Bronx County,193783
49,10456,NY,New York,Bronx County,405767
50,60613,IL,Chicago,Cook County,362220
51,30044,GA,Lawrenceville,Gwinnett County,284377
52,10019,NY,New York,New York County,1266716
53,63376,MO,Saint Peters,Saint Charles County,256056
54,10003,NY,New York,New York County,1404994
55,28277,NC,Charlotte,Mecklenburg County,442368
56,60625,IL,Chicago,Cook County,413890
57,30043,GA,Lawrenceville,Gwinnett County,330394
58,11230,NY,New York,Kings County,1028427
59,11212,NY,New York,Kings County,531279
60,77036,TX,Houston,Harris County,161061
61,10463,NY,New York,New York County,437546
62,60629,IL,Chicago,Cook County,237470
63,11209,NY,New York,Kings County,971437
64,30096,GA,Duluth,Gwinnett County,319766
65,11221,NY,New York,Kings County,1128699
66,7030,NJ,Hoboken,Hudson County,725465
67,98052,WA,Redmond,King County,1159616
68,30024,GA,Suwanee,Gwinnett County,466237
69,60610,IL,Chicago,Cook County,439150
70,78704,TX,Austin,Travis County,884500
71,77077,TX,Houston,Harris County,342183
72,85032,AZ,Phoenix,Maricopa County,385214
73,77379,TX,Spring,Harris County,310506
74,75287,TX,Dallas,Dallas County,404817
75,10024,NY,New York,New York County,1615313
76,78666,TX,San Marcos,Hays County,317256
77,21234,MD,Parkville,Baltimore County,248028
78,33160,FL,Sunny Isles Beach,Miami-Dade County,415078
79,23464,VA,Virginia Beach,Virginia Beach City,320613
80,34787,FL,Winter Garden,Orange County,424206
81,78521,TX,Brownsville,Cameron County,117285
82,8701,NJ,Lakewood Township,Ocean County,442955
83,75243,TX,Dallas,Dallas County,257431
84,11214,NY,New York,Kings County,689918
85,28027,NC,Concord,Cabarrus County,325519
86,11207,NY,New York,Kings County,536449
87,94501,CA,Alameda,Alameda County,1275492
88,2169,MA,Quincy,Norfolk County,537019
89,33411,FL,Royal Palm Beach,Palm Beach County,375408
90,11229,NY,New York,Kings County,755959
91,60619,IL,Chicago,Cook County,187910
92,78745,TX,Austin,Travis County,506879
93,94110,CA,San Francisco,San Francisco County,1562304
94,23462,VA,Virginia Beach,Virginia Beach City,254807
95,33025,FL,Miramar,Broward County,306355
96,10458,NY,New York,Bronx County,483518
97,75067,TX,Lewisville,Denton County,319177
98,90034,CA,Los Angeles,Los Angeles County,1534994
99,80134,CO,Parker,Douglas County,650681
100,33139,FL,Miami Beach,Miami-Dade County,347454
101,60611,IL,Chicago,Cook County,481895
102,95630,CA,Folsom,Sacramento County,711346
103,48197,MI,Ypsilanti,Washtenaw County,277182
104,44107,OH,Lakewood,Cuyahoga County,249043
105,66062,KS,Olathe,Johnson County,337436
106,11211,NY,New York,Kings County,1059108
107,44035,OH,Elyria,Lorain County,139417
108,85281,AZ,Tempe,Maricopa County,362862
109,11377,NY,New York,Queens County,798203
110,10453,NY,New York,Bronx County,643215
111,90805,CA,Long Beach,Los Angeles County,602007
112,7302,NJ,Jersey City,Hudson County,791845
113,90650,CA,Norwalk,Los Angeles County,604406
114,90044,CA,Los Angeles,Los Angeles County,581706
115,85710,AZ,Tucson,Pima County,261059
116,92683,CA,Westminster,Orange County,852834
117,85225,AZ,Chandler,Maricopa County,376227
118,11234,NY,New York,Kings County,682159
119,30281,GA,Stockbridge,Henry County,237064
120,37075,TN,Hendersonville,Sumner County,390283
121,11355,NY,New York,Queens County,686997
122,11238,NY,New York,Kings County,1118798
123,78641,TX,Leander,Williamson County,456083
124,10314,NY,New York,Richmond County,588293
125,19143,PA,Philadelphia,Philadelphia County,174389
126,79938,TX,El Paso,El Paso County,190519
127,91709,CA,Chino Hills,San Bernardino County,826007
128,11215,NY,New York,Kings County,1357129
129,10452,NY,New York,Bronx County,399570
130,60617,IL,Chicago,Cook County,161015
131,87114,NM,Albuquerque,Bernalillo County,291651
132,32210,FL,Jacksonville,Duval County,192699
133,43081,OH,Westerville,Franklin County,296114
134,94558,CA,Napa,Napa County,844874
135,90026,CA,Los Angeles,Los Angeles County,1110059
136,76063,TX,Mansfield,Tarrant County,360692
137,77459,TX,Missouri City,Fort Bend County,333165
138,91910,CA,Chula Vista,San Diego County,697167
139,27587,NC,Wake Forest,Wake County,423672
140,30040,GA,Cumming,Forsyth County,441099
141,93722,CA,Fresno,Fresno County,335377
142,97229,OR,Portland,Multnomah County,689446
143,6010,CT,Bristol,Hartford County,229997
144,17603,PA,Lancaster Township,Lancaster County,233315
145,76028,TX,Burleson,Johnson County,291132
146,33908,FL,Fort Myers,Lee County,320602
147,43123,OH,Grove City,Franklin County,258043
148,75056,TX,The Colony,Denton County,400478
149,89108,NV,Las Vegas,Clark County,292066
150,85308,AZ,Glendale,Maricopa County,410693
151,78577,TX,Pharr,Hidalgo County,127485
152,78240,TX,San Antonio,Bexar County,242698
153,94533,CA,Fairfield,Solano County,501342
154,87111,NM,Albuquerque,Bernalillo County,344618
155,14850,NY,Town Of Ithaca,Tompkins County,300223
156,33024,FL,Pembroke Pines,Broward County,360282
157,98012,WA,Bothell,Snohomish County,808495
158,48180,MI,Taylor,Wayne County,141610
159,77845,TX,College Station,Brazos County,290450
160,30318,GA,Atlanta,Fulton County,326859
161,44060,OH,Mentor,Lake County,223460
162,85364,AZ,Yuma,Yuma County,203864
163,95608,CA,Carmichael,Sacramento County,541026
164,43055,OH,Newark,Licking County,179865
165,11385,NY,New York,Queens County,727159
166,33647,FL,Tampa,Hillsborough County,386891
167,92677,CA,Laguna Niguel,Orange County,1085912
168,44256,OH,Medina,Medina County,290379
169,2148,MA,Malden,Middlesex County,568691
170,15601,PA,Greensburg,Westmoreland County,228370
171,80013,CO,Aurora,Arapahoe County,455091
172,90066,CA,Los Angeles,Los Angeles County,1681414
173,20906,MD,Silver Spring,Montgomery County,404993
174,47906,IN,West Lafayette,Tippecanoe County,284118
175,65807,MO,Springfield,Greene County,175707
176,6902,CT,Stamford,Fairfield County,459888
177,45011,OH,Hamilton,Butler County,273182
178,30188,GA,Woodstock,Cherokee County,352414
179,92336,CA,Fontana,San Bernardino County,599630
180,99301,WA,Pasco,Franklin County,347095
181,10468,NY,New York,Bronx County,329332
182,11373,NY,New York,Queens County,574806
183,65203,MO,Columbia,Boone County,283224
184,28078,NC,Huntersville,Mecklenburg County,406554
185,60620,IL,Chicago,Cook County,192431
186,46307,IN,Crown Point,Lake County,289772
187,95823,CA,Sacramento,Sacramento County,396585
188,92345,CA,Hesperia,San Bernardino County,357709
