,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
0,10025,NY,New York,New York County,1023969,1019755,1046267,1068521,1035675,1114145
1,60657,IL,Chicago,Cook County,466042,478119,484504,478017,483617,508407
2,10023,NY,New York,New York County,1376431,1409487,1488460,1400072,1453596,1450186
3,77494,TX,Katy,Harris County,334947,332746,336492,337284,343088,404243
4,60614,IL,Chicago,Cook County,607017,621614,628324,620016,620261,648360
5,77449,TX,Katy,Harris County,167189,172526,179760,186936,197291,230956
6,10002,NY,New York,New York County,977033,899242,866245,957433,948578,877046
7,77084,TX,Houston,Harris County,164037,169340,176739,184572,194864,227804
8,79936,TX,El Paso,El Paso County,121209,124969,126429,133478,140166,163190
9,60640,IL,Chicago,Cook County,281390,293936,301326,300699,309676,330466
10,11226,NY,New York,Kings County,709617,766635,791808,837529,808741,816357
11,10467,NY,New York,Bronx County,297246,328983,363604,397331,413028,437434
12,78660,TX,Pflugerville,Travis County,240903,252971,262938,272194,294548,411590
13,94109,CA,San Francisco,San Francisco County,1138850,1141547,1196690,1199237,1200262,1174651
14,10016,NY,New York,New York County,1115777,1117430,1107377,1070951,1016349,994723
15,37013,TN,Nashville,Davidson County,177308,200294,222250,236617,251826,295552
16,32162,FL,The Villages,Sumter County,249613,255073,266554,282662,293763,315421
17,60647,IL,Chicago,Cook County,431722,443995,451327,449742,468280,499578
18,11201,NY,New York,Kings County,1353399,1245377,1253144,1322077,1339023,1250570
19,11235,NY,New York,Kings County,501285,531631,582126,596191,594450,629803
20,11375,NY,New York,Queens County,726262,771506,832361,858442,852750,839621
21,90250,CA,Hawthorne,Los Angeles County,542177,588910,641361,659317,706718,808172
22,78130,TX,New Braunfels,Comal County,217013,228518,237442,242648,252125,298815
23,37211,TN,Nashville,Davidson County,214539,241823,263155,271914,288671,340382
24,10029,NY,New York,New York County,837072,886236,913398,641671,534504,703790
25,10009,NY,New York,New York County,1006234,1005477,1048556,1014621,980396,989520
26,77573,TX,League City,Galveston County,250780,259602,271694,280381,286220,328783
27,60618,IL,Chicago,Cook County,452168,467121,473268,465008,474377,507845
28,77584,TX,Pearland,Brazoria County,256210,263844,273040,278547,279809,316103
29,10011,NY,New York,New York County,2120586,2054447,2032798,1932599,1755370,1683857
30,20002,DC,Washington,District of Columbia,596630,626445,663778,691742,711383,749929
31,10128,NY,New York,New York County,1076217,1071762,1128177,1130138,1103642,1176807
32,28269,NC,Charlotte,Mecklenburg County,176920,193708,212418,226455,244538,297373
33,78613,TX,Cedar Park,Williamson County,290768,306831,316681,331332,349821,497259
34,77433,TX,Cypress,Harris County,269530,272021,278617,284812,295151,342905
35,78572,TX,Mission,Hidalgo County,108349,111136,113888,119407,127710,145026
36,30349,GA,Riverdale,Clayton County,119140,132225,145930,161455,174434,213773
37,79912,TX,El Paso,El Paso County,178897,185712,187045,194226,203235,236690
38,75052,TX,Grand Prairie,Dallas County,172368,191438,212115,226435,238528,280300
39,94565,CA,Pittsburg,Contra Costa County,512068,545433,585357,583630,602221,713278
40,37042,TN,Clarksville,Montgomery County,141372,144479,152761,159637,175486,209013
41,11206,NY,New York,Kings County,903687,950042,982245,936382,944741,933833
42,73099,OK,Yukon,Canadian County,166584,169064,172451,177161,185649,204866
43,90046,CA,Los Angeles,Los Angeles County,1275343,1344550,1435115,1432127,1499510,1622626
44,20009,DC,Washington,District of Columbia,572767,593682,601809,608977,617464,629556
45,77429,TX,Cypress,Harris County,243277,247114,253889,259581,268927,311871
46,78245,TX,San Antonio,Bexar County,166586,176957,185259,195452,203254,236121
47,77479,TX,Sugar Land,Fort Bend County,380887,380922,380882,377896,382456,438074
48,10462,NY,New York,Bronx County,131198,140838,159910,181598,198122,193783
49,10456,NY,New York,Bronx County,275202,310456,340087,361316,384094,405767
50,60613,IL,Chicago,Cook County,322949,336979,341859,339209,343247,362220
51,30044,GA,Lawrenceville,Gwinnett County,167426,182828,201126,215099,230872,284377
52,10019,NY,New York,New York County,1458093,1426006,1406037,1325500,1263165,1266716
53,63376,MO,Saint Peters,Saint Charles County,182109,191585,200744,210583,222768,256056
54,10003,NY,New York,New York County,1397578,1360324,1458138,1432710,1265679,1404994
55,28277,NC,Charlotte,Mecklenburg County,308034,327234,344380,352891,374148,442368
56,60625,IL,Chicago,Cook County,359247,373324,381632,373395,385678,413890
57,30043,GA,Lawrenceville,Gwinnett County,207111,221730,239665,251912,266868,330394
58,11230,NY,New York,Kings County,917608,957706,1001847,1060239,1024261,1028427
59,11212,NY,New York,Kings County,362455,409437,449334,479108,504183,531279
60,77036,TX,Houston,Harris County,113421,120646,128568,135182,142659,161061
61,10463,NY,New York,New York County,374618,378069,363956,415138,440946,437546
62,60629,IL,Chicago,Cook County,169734,184459,194850,203693,213156,237470
63,11209,NY,New York,Kings County,828154,891448,924905,944524,909849,971437
64,30096,GA,Duluth,Gwinnett County,199583,214419,233945,248711,263337,319766
65,11221,NY,New York,Kings County,953594,1005315,1075557,1076280,1086701,1128699
66,7030,NJ,Hoboken,Hudson County,676714,717674,735376,707326,701721,725465
67,98052,WA,Redmond,King County,687217,807308,904238,883445,957825,1159616
68,30024,GA,Suwanee,Gwinnett County,325171,343821,363002,372635,385135,466237
69,60610,IL,Chicago,Cook County,428520,438211,439130,426465,428218,439150
70,78704,TX,Austin,Travis County,545614,564308,583057,619354,675733,884500
71,77077,TX,Houston,Harris County,311359,311697,310334,309316,309594,342183
72,85032,AZ,Phoenix,Maricopa County,221454,234273,251385,266463,299995,385214
73,77379,TX,Spring,Harris County,246471,248927,255127,261332,270156,310506
74,75287,TX,Dallas,Dallas County,296450,318595,330190,332044,342160,404817
75,10024,NY,New York,New York County,1480574,1542556,1735968,1702711,1599096,1615313
76,78666,TX,San Marcos,Hays County,202315,215799,224939,234006,248213,317256
77,21234,MD,Parkville,Baltimore County,198784,204002,211683,214028,218937,248028
78,33160,FL,Sunny Isles Beach,Miami-Dade County,408826,399449,392726,378153,373110,415078
79,23464,VA,Virginia Beach,Virginia Beach City,250277,256090,260767,267331,283293,320613
80,34787,FL,Winter Garden,Orange County,297465,312254,332071,349647,367183,424206
81,78521,TX,Brownsville,Cameron County,86883,89346,91120,91070,94304,117285
82,8701,NJ,Lakewood Township,Ocean County,325035,339349,351304,350390,362826,442955
83,75243,TX,Dallas,Dallas County,159280,179706,202170,212905,221061,257431
84,11214,NY,New York,Kings County,578594,613181,651894,666563,663439,689918
85,28027,NC,Concord,Cabarrus County,207879,224767,240280,252540,270137,325519
86,11207,NY,New York,Kings County,384461,420007,443211,467087,500899,536449
87,94501,CA,Alameda,Alameda County,885247,954962,1031575,1035648,1092039,1275492
88,2169,MA,Quincy,Norfolk County,381670,411640,444163,457053,486382,537019
89,33411,FL,Royal Palm Beach,Palm Beach County,262843,279922,296159,304285,317416,375408
