,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
4,10001,24117,102.1,36.9,15677,1510,16,5377,21,799,717,14746
8,10002,74479,88.6,44.3,23849,6635,724,31198,22,8924,3127,35921
12,10003,53977,99.8,32.5,40681,3007,81,7812,73,1155,1168,30931
16,10004,3335,75.2,37.4,2033,142,0,992,17,35,116,2264
20,10005,8701,89.5,30.3,6532,94,0,1543,0,217,315,5889
24,10006,3092,90.3,33.9,2272,99,0,496,0,73,152,2329
28,10007,7408,127,35.1,5762,610,0,777,0,106,153,3432
32,10009,58293,88.1,37,35918,5027,70,8287,12,6739,2240,31458
36,10010,35906,106.6,35.2,24991,3367,0,5903,0,681,964,18875
40,10011,49949,105.1,41.4,40234,2216,73,4387,5,1433,1601,33984
44,10012,23318,91.4,34.1,17168,625,0,4249,0,471,805,14211
48,10013,28799,96.8,37.9,16716,1097,91,9049,0,748,1098,14347
52,10014,30344,97,37.6,26983,423,0,1464,0,300,1174,21261
56,10016,52886,92.1,32.7,38010,2035,126,10743,25,619,1328,35200
60,10017,15846,85,39.6,11765,314,0,3373,0,153,241,12593
64,10018,8806,119.3,33.2,5242,462,17,2461,0,299,325,5540
68,10019,45498,110.3,38.3,30408,2738,362,8695,46,1753,1496,33354
72,10020,0,0,0,0,0,0,0,0,0,0,0
76,10021,44280,86.1,43.5,37414,294,168,3802,92,1356,1154,30246
80,10022,31130,83.3,46.2,25922,469,77,3752,0,232,678,24266
84,10023,62541,78.7,43.3,49293,2909,67,6543,0,2310,1419,41353
88,10024,58102,78.6,43.7,47847,2452,176,4622,0,1547,1458,34221
92,10025,92251,84.1,41.4,61064,10669,85,8936,13,7430,4054,48058
96,10026,38585,88.7,35.6,10813,19771,74,2424,34,3612,1857,17102
100,10027,64988,84.7,31.1,20745,24515,397,6150,5,9954,3222,26629
104,10028,46768,75,38.8,40185,715,0,4591,0,450,827,28499
108,10029,76713,84.1,35.9,26750,25098,489,7060,110,14685,2521,34488
112,10030,31060,77.3,35.4,5093,19309,29,705,101,4061,1762,13963
116,10031,59586,101.7,34.5,18726,16699,272,2488,60,11678,9663,23795
120,10032,63214,99.6,34.6,18365,12081,454,2894,92,22944,6384,22769
124,10033,58349,99.4,35.7,23981,6036,674,1361,0,20899,5398,21063
128,10034,42399,85.9,36.7,16732,5899,92,1238,104,16052,2282,16746
132,10035,36048,100.8,36.1,7552,14481,196,1504,25,10827,1463,15475
136,10036,28487,122.6,37.6,18084,2179,159,5208,13,1872,972,20851
140,10037,20462,81.7,36.1,2083,14573,68,571,8,2178,981,10770
144,10038,23311,90.7,36.1,12375,2174,59,6940,0,597,1166,12030
148,10039,27854,80.8,35.1,3949,17411,123,443,10,4329,1589,12050
152,10040,44800,84.2,37.8,16490,4414,392,1336,0,19036,3132,17433
156,10044,12440,97.6,41.6,5341,1567,0,4264,0,574,694,5407
160,10065,29530,81,38.9,24847,690,9,3384,0,162,438,21350
164,10069,6051,87.3,36.3,3814,228,0,1775,0,0,234,4068
168,10075,22252,83.2,45.6,18404,705,284,1359,0,766,734,13323
172,10103,0,0,0,0,0,0,0,0,0,0,0
176,10110,0,0,0,0,0,0,0,0,0,0,0
180,10111,0,0,0,0,0,0,0,0,0,0,0
184,10112,0,0,0,0,0,0,0,0,0,0,0
188,10115,0,0,0,0,0,0,0,0,0,0,0
192,10119,0,0,0,0,0,0,0,0,0,0,0
196,10128,58636,75,39.3,46471,2090,24,5810,0,1852,2389,34746
200,10152,0,0,0,0,0,0,0,0,0,0,0
204,10153,0,0,0,0,0,0,0,0,0,0,0
208,10154,0,0,0,0,0,0,0,0,0,0,0
212,10162,1486,82.1,38.9,1365,0,0,72,0,0,49,837
216,10165,0,0,0,0,0,0,0,0,0,0,0
220,10167,0,0,0,0,0,0,0,0,0,0,0
224,10168,0,0,0,0,0,0,0,0,0,0,0
228,10169,0,0,0,0,0,0,0,0,0,0,0
232,10170,0,0,0,0,0,0,0,0,0,0,0
236,10171,0,0,0,0,0,0,0,0,0,0,0
240,10172,0,0,0,0,0,0,0,0,0,0,0
244,10173,0,0,0,0,0,0,0,0,0,0,0
248,10174,0,0,0,0,0,0,0,0,0,0,0
252,10177,0,0,0,0,0,0,0,0,0,0,0
256,10199,0,0,0,0,0,0,0,0,0,0,0
260,10271,0,0,0,0,0,0,0,0,0,0,0
264,10278,0,0,0,0,0,0,0,0,0,0,0
268,10279,42,75,0,42,0,0,0,0,0,0,88
272,10280,9496,107.2,38.9,7136,254,93,1570,0,8,435,5278
276,10282,5783,100.1,36.1,4368,57,0,1150,0,14,194,2772
280,10301,38280,92.6,39.3,23029,9022,56,2421,9,1976,1767,16518
284,10302,18037,107,35,10537,3964,228,1700,19,1069,520,6966
288,10303,27401,97.5,32.4,12825,9393,33,2118,0,2195,837,9334
292,10304,41112,99.2,38.7,21030,11921,101,4550,40,2859,611,16321
296,10305,42726,93.3,39.1,30411,3157,140,6363,18,1686,951,16036
300,10306,53877,89.2,43.8,45069,1848,32,3951,0,1308,1669,21749
304,10307,14906,93.3,40.8,13602,63,20,678,0,396,147,5486
308,10308,29512,91.5,43,27311,351,27,1473,0,196,154,11320
312,10309,34058,100.2,40.6,31731,239,111,1143,0,498,336,11979
316,10310,23800,90.8,39.1,14264,5098,62,1364,0,2149,863,9465
320,10311,0,0,0,0,0,0,0,0,0,0,0
324,10312,61392,91.4,41.6,56249,560,90,3276,57,525,635,22226
328,10314,89792,93.3,41.1,65976,3342,126,15209,76,2691,2372,32925
332,10451,48136,90.4,34.1,6746,19123,148,656,0,18962,2501,20206
336,10452,75452,83.8,31.8,10445,24612,298,1270,252,35629,2946,27387
340,10453,81716,85.3,31,7797,27461,458,1214,0,41989,2797,28749
344,10454,37212,91.9,30.7,6161,12349,515,105,24,16900,1158,14141
348,10455,41951,88,30.5,5845,12749,368,391,110,21127,1361,15122
352,10456,92717,90.7,31.1,11608,42939,1218,615,156,33023,3158,32411
356,10457,74822,84.9,30,13534,33654,380,731,37,24079,2407,25965
360,10458,85620,93.2,28.9,14411,16289,333,2585,48,48689,3265,29436
364,10459,48780,91.6,32.4,6123,15958,289,266,27,24351,1766,18216
368,10460,59432,87.9,32.5,10950,20409,289,891,145,24628,2120,21824
372,10461,49690,93.7,38.4,24113,4681,383,6100,57,11910,2446,20157
376,10462,75714,90.6,36.6,17579,21736,729,10272,20,21561,3817,31100
380,10463,71132,88,40.4,33197,11573,480,2774,69,18701,4338,30021
384,10464,4531,100.5,42.1,3084,1,0,227,0,1061,158,2095
388,10465,43671,95.5,41.9,25689,5810,13,1220,8,9425,1506,16714
392,10466,75039,79.7,36.6,8741,53651,898,2132,52,7522,2043,25372
396,10467,101255,90.1,34.3,24355,35955,631,5871,77,30081,4285,38832
400,10468,78881,88.2,32.2,12484,19919,653,1830,303,41304,2388,27600
404,10469,72384,84.2,40.3,12756,40936,459,4493,0,11072,2668,23569
408,10470,15716,84.9,39.2,6685,6723,6,463,0,1371,468,6495
412,10471,22422,92.7,43.9,15232,2509,33,1267,0,2353,1028,9611
416,10472,67948,94.4,32.2,8668,18615,846,5519,0,31829,2471,23480
420,10473,59579,86,35.7,21610,23528,231,925,0,10734,2551,22135
424,10474,12179,104.1,30.7,1180,5115,68,22,0,5322,472,4091
428,10475,42818,76.9,47.2,6847,27547,529,1044,0,4705,2146,19141
432,10501,1213,107,50.6,1142,13,0,0,0,25,33,452
436,10502,5514,110.9,48.2,4181,166,9,690,0,223,245,2011
444,10504,8196,101.6,45,7255,34,0,383,0,341,183,3033
448,10505,1089,70.7,43.6,962,0,0,102,0,25,0,368
452,10506,5699,88.6,44.4,5030,46,0,254,0,289,80,2263
456,10507,7134,69.3,37.4,5090,512,17,250,0,992,273,2480
460,10509,19582,105.4,41.6,15709,451,27,716,5,2337,337,7436
464,10510,10438,95.5,45.4,8839,330,7,500,7,437,318,3981
468,10511,2166,108.5,39.8,1693,184,5,8,0,241,35,975
472,10512,24672,88.1,46.5,21895,848,27,299,0,1169,434,10248
476,10514,12667,92,43.2,10728,433,5,1211,0,0,290,4294
480,10516,5375,96,47.9,5198,12,17,51,0,67,30,2450
488,10518,1071,72.7,50,917,0,0,143,0,11,0,434
492,10519,289,194.9,37.4,148,0,0,141,0,0,0,134
496,10520,13117,89.4,44.5,10837,535,0,616,0,795,334,5353
500,10522,11070,105.4,38.6,8630,877,27,658,0,374,504,3849
504,10523,9133,105.6,35.7,3718,2622,24,763,0,1573,433,3201
508,10524,4380,99.4,47.4,3894,141,0,121,0,61,163,1710
