,postal_code,stars_1.0,stars_1.5,stars_2.0,stars_2.5,stars_3.0,stars_3.5,stars_4.0,stars_4.5,stars_5.0,total_stars,stars_1.0_ratio,ratio_stars_1.0,ratio_stars_1.5,ratio_stars_2.0,ratio_stars_2.5,ratio_stars_3.0,ratio_stars_3.5,ratio_stars_4.0,ratio_stars_4.5,ratio_stars_5.0
0,8001,0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
1,8002,0,6,4,15,18,18,30,4,1,96.0,0.0,0.0,0.0625,0.041666666666666664,0.15625,0.1875,0.1875,0.3125,0.041666666666666664,0.010416666666666666
2,8003,0,1,0,2,8,11,13,8,0,43.0,0.0,0.0,0.023255813953488372,0.0,0.046511627906976744,0.18604651162790697,0.2558139534883721,0.3023255813953488,0.18604651162790697,0.0
3,8004,0,1,1,0,2,1,3,0,0,8.0,0.0,0.0,0.125,0.125,0.0,0.25,0.125,0.375,0.0,0.0
4,8005,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,8007,0,0,0,0,0,2,5,1,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111
6,8009,0,1,2,1,6,5,6,6,2,29.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.20689655172413793,0.1724137931034483,0.20689655172413793,0.20689655172413793,0.06896551724137931
7,8010,0,0,2,0,1,1,4,2,0,10.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.4,0.2,0.0
8,8012,0,2,5,8,11,17,13,11,0,67.0,0.0,0.0,0.029850746268656716,0.07462686567164178,0.11940298507462686,0.16417910447761194,0.2537313432835821,0.19402985074626866,0.16417910447761194,0.0
9,8016,1,5,6,5,10,16,13,5,1,62.0,0.016129032258064516,0.016129032258064516,0.08064516129032258,0.0967741935483871,0.08064516129032258,0.16129032258064516,0.25806451612903225,0.20967741935483872,0.08064516129032258,0.016129032258064516
10,8018,0,0,0,1,0,0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
11,8020,0,0,0,0,0,1,2,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
12,8021,0,3,4,5,9,22,15,9,1,68.0,0.0,0.0,0.04411764705882353,0.058823529411764705,0.07352941176470588,0.1323529411764706,0.3235294117647059,0.22058823529411764,0.1323529411764706,0.014705882352941176
13,8022,0,0,0,0,2,3,5,3,0,13.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.0
14,8026,0,0,0,1,1,3,1,0,0,6.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0
15,8027,0,0,1,1,4,0,0,1,0,7.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0
16,8028,1,3,7,9,8,10,11,6,0,55.0,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.12727272727272726,0.16363636363636364,0.14545454545454545,0.18181818181818182,0.2,0.10909090909090909,0.0
17,8029,0,0,0,0,1,1,1,3,0,6.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.0
18,8030,0,0,1,3,1,5,8,2,2,22.0,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.22727272727272727,0.36363636363636365,0.09090909090909091,0.09090909090909091
19,8031,0,0,0,1,1,4,8,2,0,16.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.25,0.5,0.125,0.0
20,8033,0,0,1,0,3,9,11,11,2,37.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.08108108108108109,0.24324324324324326,0.2972972972972973,0.2972972972972973,0.05405405405405406
21,8034,1,1,5,3,5,13,15,11,0,54.0,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.09259259259259259,0.05555555555555555,0.09259259259259259,0.24074074074074073,0.2777777777777778,0.2037037037037037,0.0
22,8035,0,0,1,0,2,3,3,6,0,15.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.2,0.2,0.4,0.0
23,8036,0,0,1,0,4,1,4,2,0,12.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.0
24,8037,0,0,0,0,1,3,2,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0
25,8041,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,8043,0,1,4,6,7,20,19,6,2,65.0,0.0,0.0,0.015384615384615385,0.06153846153846154,0.09230769230769231,0.1076923076923077,0.3076923076923077,0.2923076923076923,0.09230769230769231,0.03076923076923077
27,8045,0,0,1,2,1,2,2,0,0,8.0,0.0,0.0,0.0,0.125,0.25,0.125,0.25,0.25,0.0,0.0
28,8046,0,2,5,6,6,4,6,3,0,32.0,0.0,0.0,0.0625,0.15625,0.1875,0.1875,0.125,0.1875,0.09375,0.0
29,8048,0,0,3,2,2,3,3,1,0,14.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0
30,8049,0,0,0,3,1,2,1,1,0,8.0,0.0,0.0,0.0,0.0,0.375,0.125,0.25,0.125,0.125,0.0
31,8051,0,0,1,1,4,2,4,0,0,12.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0
32,8052,0,2,4,2,5,12,8,6,1,40.0,0.0,0.0,0.05,0.1,0.05,0.125,0.3,0.2,0.15,0.025
33,8053,0,0,5,4,16,27,32,9,2,95.0,0.0,0.0,0.0,0.05263157894736842,0.042105263157894736,0.16842105263157894,0.28421052631578947,0.3368421052631579,0.09473684210526316,0.021052631578947368
34,8054,0,1,8,14,18,21,24,9,2,97.0,0.0,0.0,0.010309278350515464,0.08247422680412371,0.14432989690721648,0.18556701030927836,0.21649484536082475,0.24742268041237114,0.09278350515463918,0.020618556701030927
35,8055,1,0,2,4,12,10,14,11,1,55.0,0.01818181818181818,0.01818181818181818,0.0,0.03636363636363636,0.07272727272727272,0.21818181818181817,0.18181818181818182,0.2545454545454545,0.2,0.01818181818181818
36,8057,0,2,0,1,5,6,14,8,0,36.0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.1388888888888889,0.16666666666666666,0.3888888888888889,0.2222222222222222,0.0
37,8059,0,1,1,1,1,8,0,0,0,12.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.0,0.0,0.0
38,8060,1,2,4,9,10,11,14,5,1,57.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.07017543859649122,0.15789473684210525,0.17543859649122806,0.19298245614035087,0.24561403508771928,0.08771929824561403,0.017543859649122806
39,8061,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40,8062,0,1,0,2,3,7,3,1,1,18.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.16666666666666666,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.05555555555555555
41,8063,0,0,0,0,1,1,0,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0
42,8065,0,1,1,0,0,2,2,2,1,9.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111
43,8066,0,1,0,2,2,5,2,2,1,15.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
44,8067,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,8068,0,1,1,0,1,0,1,0,0,4.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0
46,8069,0,1,0,1,5,0,5,2,0,14.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.35714285714285715,0.0,0.35714285714285715,0.14285714285714285,0.0
