postal_code,State,City,CountyName,2021
10025,NY,New York,New York County,1114145
60657,IL,Chicago,Cook County,508407
10023,NY,New York,New York County,1450186
77494,TX,Katy,Harris County,404243
60614,IL,Chicago,Cook County,648360
77449,TX,Katy,Harris County,230956
10002,NY,New York,New York County,877046
77084,TX,Houston,Harris County,227804
79936,TX,El Paso,El Paso County,163190
60640,IL,Chicago,Cook County,330466
11226,NY,New York,Kings County,816357
10467,NY,New York,Bronx County,437434
78660,TX,Pflugerville,Travis County,411590
94109,CA,San Francisco,San Francisco County,1174651
10016,NY,New York,New York County,994723
37013,TN,Nashville,Davidson County,295552
32162,FL,The Villages,Sumter County,315421
60647,IL,Chicago,Cook County,499578
11201,NY,New York,Kings County,1250570
11235,NY,New York,Kings County,629803
11375,NY,New York,Queens County,839621
90250,CA,Hawthorne,Los Angeles County,808172
78130,TX,New Braunfels,Comal County,298815
37211,TN,Nashville,Davidson County,340382
10029,NY,New York,New York County,703790
10009,NY,New York,New York County,989520
77573,TX,League City,Galveston County,328783
60618,IL,Chicago,Cook County,507845
77584,TX,Pearland,Brazoria County,316103
10011,NY,New York,New York County,1683857
20002,DC,Washington,District of Columbia,749929
10128,NY,New York,New York County,1176807
28269,NC,Charlotte,Mecklenburg County,297373
78613,TX,Cedar Park,Williamson County,497259
77433,TX,Cypress,Harris County,342905
78572,TX,Mission,Hidalgo County,145026
30349,GA,Riverdale,Clayton County,213773
79912,TX,El Paso,El Paso County,236690
75052,TX,Grand Prairie,Dallas County,280300
94565,CA,Pittsburg,Contra Costa County,713278
37042,TN,Clarksville,Montgomery County,209013
11206,NY,New York,Kings County,933833
73099,OK,Yukon,Canadian County,204866
90046,CA,Los Angeles,Los Angeles County,1622626
20009,DC,Washington,District of Columbia,629556
77429,TX,Cypress,Harris County,311871
78245,TX,San Antonio,Bexar County,236121
77479,TX,Sugar Land,Fort Bend County,438074
10462,NY,New York,Bronx County,193783
10456,NY,New York,Bronx County,405767
60613,IL,Chicago,Cook County,362220
30044,GA,Lawrenceville,Gwinnett County,284377
10019,NY,New York,New York County,1266716
63376,MO,Saint Peters,Saint Charles County,256056
10003,NY,New York,New York County,1404994
28277,NC,Charlotte,Mecklenburg County,442368
60625,IL,Chicago,Cook County,413890
30043,GA,Lawrenceville,Gwinnett County,330394
11230,NY,New York,Kings County,1028427
11212,NY,New York,Kings County,531279
77036,TX,Houston,Harris County,161061
10463,NY,New York,New York County,437546
60629,IL,Chicago,Cook County,237470
11209,NY,New York,Kings County,971437
30096,GA,Duluth,Gwinnett County,319766
11221,NY,New York,Kings County,1128699
7030,NJ,Hoboken,Hudson County,725465
98052,WA,Redmond,King County,1159616
30024,GA,Suwanee,Gwinnett County,466237
60610,IL,Chicago,Cook County,439150
78704,TX,Austin,Travis County,884500
77077,TX,Houston,Harris County,342183
85032,AZ,Phoenix,Maricopa County,385214
77379,TX,Spring,Harris County,310506
75287,TX,Dallas,Dallas County,404817
10024,NY,New York,New York County,1615313
78666,TX,San Marcos,Hays County,317256
21234,MD,Parkville,Baltimore County,248028
33160,FL,Sunny Isles Beach,Miami-Dade County,415078
23464,VA,Virginia Beach,Virginia Beach City,320613
34787,FL,Winter Garden,Orange County,424206
78521,TX,Brownsville,Cameron County,117285
8701,NJ,Lakewood Township,Ocean County,442955
75243,TX,Dallas,Dallas County,257431
11214,NY,New York,Kings County,689918
28027,NC,Concord,Cabarrus County,325519
11207,NY,New York,Kings County,536449
94501,CA,Alameda,Alameda County,1275492
2169,MA,Quincy,Norfolk County,537019
33411,FL,Royal Palm Beach,Palm Beach County,375408
11229,NY,New York,Kings County,755959
60619,IL,Chicago,Cook County,187910
78745,TX,Austin,Travis County,506879
94110,CA,San Francisco,San Francisco County,1562304
23462,VA,Virginia Beach,Virginia Beach City,254807
33025,FL,Miramar,Broward County,306355
10458,NY,New York,Bronx County,483518
75067,TX,Lewisville,Denton County,319177
90034,CA,Los Angeles,Los Angeles County,1534994
80134,CO,Parker,Douglas County,650681
33139,FL,Miami Beach,Miami-Dade County,347454
60611,IL,Chicago,Cook County,481895
95630,CA,Folsom,Sacramento County,711346
48197,MI,Ypsilanti,Washtenaw County,277182
44107,OH,Lakewood,Cuyahoga County,249043
66062,KS,Olathe,Johnson County,337436
11211,NY,New York,Kings County,1059108
44035,OH,Elyria,Lorain County,139417
85281,AZ,Tempe,Maricopa County,362862
